2023-09-19 14:18:48,773 - DEBUG - Testing 100 pairs of random ints.
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 73, 93
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 72, 93
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 59, 63
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 85, 29
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 42, 90
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 22, 79
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 35, 99
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 62, 40
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 39, 91
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 65, 72
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 67, 65
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 84, 79
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 76, 53
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 40, 94
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 27, 63
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 66, 47
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 88, 80
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 10, 44
2023-09-19 14:18:48,777 - DEBUG - Random Numbers: 93, 2
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 25, 96
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 14, 8
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 74, 84
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 7, 35
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 76, 30
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 88, 14
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 97, 67
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 18, 35
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 32, 27
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 8, 55
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 92, 98
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 5, 8
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 47, 47
2023-09-19 14:18:48,778 - INFO - Identical Numbers Found: 47, 47
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 23, 32
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 87, 4
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 11, 15
2023-09-19 14:18:48,778 - DEBUG - Random Numbers: 9, 4
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 6, 94
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 3, 48
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 33, 17
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 21, 95
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 24, 67
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 89, 1
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 50, 76
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 6, 32
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 20, 5
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 1, 45
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 79, 81
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 96, 96
2023-09-19 14:18:48,779 - INFO - Identical Numbers Found: 96, 96
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 15, 37
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 44, 63
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 4, 40
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 58, 71
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 99, 78
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 95, 6
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 34, 97
2023-09-19 14:18:48,779 - DEBUG - Random Numbers: 52, 80
2023-09-19 14:18:48,780 - DEBUG - Random Numbers: 91, 20
2023-09-19 14:18:48,780 - DEBUG - Random Numbers: 61, 29
2023-09-19 14:18:48,780 - DEBUG - Random Numbers: 12, 85
2023-09-19 14:18:48,780 - DEBUG - Random Numbers: 88, 41
2023-09-19 14:18:48,780 - INFO - Out of 100 iterations, 3 times the random numbers were identical.
